ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
0,1e-07,0.0334888,4375,437500,4.69124e-21,2.25958e-21,0,2.96911e-21,1.44642e-11,1.44642e-11
1,2e-07,0.124894,8750,875000,9.28879e-21,4.5361e-21,0,5.86671e-21,1.44638e-11,1.44638e-11
2,3e-07,0.163325,13125,1.3125e+06,1.39212e-20,6.85233e-21,0,8.83677e-21,1.44633e-11,1.44633e-11
3,4e-07,0.23022,17500,1.75e+06,1.84656e-20,9.06638e-21,0,1.16837e-20,1.44628e-11,1.44628e-11
4,5e-07,0.281606,21875,2.1875e+06,2.2988e-20,1.13386e-20,0,1.4557e-20,1.44624e-11,1.44624e-11
5,6e-07,0.346245,26250,2.625e+06,2.75827e-20,1.36298e-20,0,1.7496e-20,1.44619e-11,1.44619e-11
6,7e-07,0.407843,30625,3.0625e+06,3.21359e-20,1.57859e-20,0,2.03396e-20,1.44614e-11,1.44614e-11
7,8e-07,0.45738,35000,3.5e+06,3.66662e-20,1.79024e-20,0,2.31417e-20,1.44609e-11,1.44609e-11
8,9e-07,0.551934,39375,3.9375e+06,4.1065e-20,2.0299e-20,0,2.60137e-20,1.44604e-11,1.44604e-11
9,1e-06,0.63996,43750,4.375e+06,4.56958e-20,2.25759e-20,0,2.89829e-20,1.446e-11,1.446e-11
10,1.1e-06,0.705686,48125,4.8125e+06,5.03985e-20,2.48285e-20,0,3.19757e-20,1.44595e-11,1.44595e-11
11,1.2e-06,0.854054,52500,5.25e+06,5.4804e-20,2.71576e-20,0,3.47573e-20,1.4459e-11,1.4459e-11
12,1.3e-06,0.918107,56875,5.6875e+06,5.91901e-20,2.94619e-20,0,3.75984e-20,1.44585e-11,1.44585e-11
13,1.4e-06,0.985868,61250,6.125e+06,6.40737e-20,3.17146e-20,0,4.06772e-20,1.4458e-11,1.4458e-11
14,1.5e-06,1.08044,65625,6.5625e+06,6.84401e-20,3.3815e-20,0,4.33293e-20,1.44575e-11,1.44575e-11
15,1.6e-06,1.15615,70000,7e+06,7.30871e-20,3.63096e-20,0,4.64579e-20,1.4457e-11,1.4457e-11
16,1.7e-06,1.24104,74375,7.4375e+06,7.76739e-20,3.85418e-20,0,4.93283e-20,1.44566e-11,1.44566e-11
17,1.8e-06,1.32551,78750,7.875e+06,8.21035e-20,4.08952e-20,0,5.22188e-20,1.44561e-11,1.44561e-11
18,1.9e-06,1.40312,83125,8.3125e+06,8.67109e-20,4.33197e-20,0,5.525e-20,1.44556e-11,1.44556e-11
19,2e-06,1.55352,87500,8.75e+06,9.11817e-20,4.54272e-20,0,5.80235e-20,1.44551e-11,1.44551e-11
20,2.1e-06,1.73308,91875,9.1875e+06,9.58716e-20,4.76172e-20,0,6.09119e-20,1.44546e-11,1.44546e-11
21,2.2e-06,1.93574,96250,9.625e+06,1.00285e-19,4.98751e-20,0,6.37228e-20,1.44541e-11,1.44541e-11
22,2.3e-06,2.08258,100625,1.00625e+07,1.04736e-19,5.23605e-20,0,6.66865e-20,1.44536e-11,1.44536e-11
23,2.4e-06,2.27065,105000,1.05e+07,1.09289e-19,5.43466e-20,0,6.93806e-20,1.44531e-11,1.44531e-11
24,2.5e-06,2.36639,109375,1.09375e+07,1.13803e-19,5.67249e-20,0,7.23479e-20,1.44526e-11,1.44526e-11
25,2.6e-06,2.45743,113750,1.1375e+07,1.18538e-19,5.89536e-20,0,7.53106e-20,1.44521e-11,1.44521e-11
26,2.7e-06,2.54731,118125,1.18125e+07,1.23046e-19,6.11884e-20,0,7.81325e-20,1.44516e-11,1.44516e-11
27,2.8e-06,2.65797,122500,1.225e+07,1.2784e-19,6.33783e-20,0,8.11675e-20,1.44511e-11,1.44511e-11
28,2.9e-06,2.7545,126875,1.26875e+07,1.32328e-19,6.57036e-20,0,8.40395e-20,1.44506e-11,1.44506e-11
